Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast,
0900,Amarillo,Vigilancia / Seguridad / Empleo Jóvenes,Integridad / Aplomo / Templanza,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,100 personas,
0901,Rojo,Salud / COVID EMPLEO / SEGURIDAD,Empatia / Pasión / Fervor / Arrojo,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,20 - 56 / 12 - 3 pm/FB/Medios Locales/TW,2 veces al dia.,50 - 100 personas,
0806,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0842,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Liderazgo/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0841,Rojo,Salud / COVID EMPLEO / SEGURIDAD,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0874,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Integridad / Aplomo / Templanza,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0843,Verde,Relevo Generacional / Confianza / Experiencia ,Liderazgo/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0809,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0875,Verde,Recuperación Economica/Salud COVID/Familia / Futuro,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0799,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Integridad / Aplomo / Templanza,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0810,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0784,Verde,Salud / COVID EMPLEO / SEGURIDAD,Liderazgo/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0861,Verde,Relevo Generacional / Confianza / Experiencia ,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0840,Rojo,Vigilancia / Seguridad / Empleo Jóvenes,Liderazgo/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0860,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Liderazgo/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0839,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0798,Verde,Salud / COVID EMPLEO / SEGURIDAD,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0782,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0808,Amarillo,Relevo Generacional / Confianza / Experiencia ,Liderazgo/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0898,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0899,Verde,Relevo Generacional / Confianza / Experiencia ,Asertividad/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0939,Amarillo,Salud / COVID EMPLEO / SEGURIDAD,Liderazgo/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0947,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0862,Verde,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0960,Amarillo,Salud / COVID EMPLEO / SEGURIDAD,Asertividad/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0896,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Integridad / Aplomo / Templanza,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0948,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Integridad / Aplomo / Templanza,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0828,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0940,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Empatia / Pasión / Fervor / Arrojo,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0870,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0934,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0910,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0915,Amarillo,Vigilancia / Seguridad / Empleo Jóvenes,Integridad / Aplomo / Templanza,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0935,Rojo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0944,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0876,Amarillo,Vigilancia / Seguridad / Empleo Jóvenes,Integridad / Aplomo / Templanza,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0783,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0837,Verde,Salud / COVID EMPLEO / SEGURIDAD,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0955,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0807,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0864,Verde,Relevo Generacional / Confianza / Experiencia ,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0873,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0871,Verde,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0781,Amarillo,Vigilancia / Seguridad / Empleo Jóvenes,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0958,Amarillo,Relevo Generacional / Confianza / Experiencia ,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0911,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0835,Rojo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0863,Rojo,Vigilancia / Seguridad / Empleo Jóvenes,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0912,Amarillo,Salud / COVID EMPLEO / SEGURIDAD,Integridad / Aplomo / Templanza,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0865,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0838,Amarillo,Salud / COVID EMPLEO / SEGURIDAD,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0914,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Integridad / Aplomo / Templanza,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0913,Verde,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0959,Amarillo,Vigilancia / Seguridad / Empleo Jóvenes,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0945,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Integridad / Aplomo / Templanza,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0941,Verde,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0957,Verde,Vigilancia / Seguridad / Empleo Jóvenes,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0866,Amarillo,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0953,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 25 años/4 - 6 pm/WA/FB / TW,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0954,Verde,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 40 años/1 - 4 pm/WA/FB / TW/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 - 120 personas,
0942,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0956,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,50 - 100 personas,
0897,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0951,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Vehemencia / Valor / Generosidad / Arrojo / Honestidad / Aprobación,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0902,Amarillo,/ Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0872,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0937,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0978,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0833,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0903,Rojo,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0867,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0938,Rojo,Recuperación Economica/Salud COVID/Familia / Futuro,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0836,Amarillo,Relevo Generacional / Confianza / Experiencia ,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0904,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0936,Amarillo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0906,Rojo,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0909,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0979,Rojo,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0908,Rojo,Recuperación Economica/Salud COVID/Familia / Futuro,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0832,Amarillo,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0834,Rojo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0952,Amarillo,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0950,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad/Certeza/Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0946,Amarillo,Recuperación Economica /Salud COVID/Familia / Futuro,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0949,Verde,Relevo Generacional / Confianza / Experiencia ,Asertividad / Certeza / Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0905,Verde,Cambio Efectivo / Reformas Utiles / Burocracia,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0943,Amarillo,Cambio Efectivo / Reformas Utiles / Burocracia,Asertividad / Certeza / Compromiso,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
0907,Verde,Relevo Generacional / Confianza / Experiencia ,Empatia / Pasión / Fervor / Arrojo,20 - 36 años/4 - 7 pm/WA/FB/Medios Locales,Hombres 20 - 56 / 4 - 10 pm/FB/TW,2 veces al dia.,100 personas,
